input_name,author_name,orcid,year,cited_by_count
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2024,11
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2025,2
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1975,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1977,1
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1978,1
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1979,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1980,2
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1981,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1983,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1985,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1987,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1989,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1991,1
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1992,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1993,0
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1995,13
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1996,15
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1997,8
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,1998,24
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2001,3
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2002,113
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2003,320
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2004,164
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2006,117
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2008,85
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2009,25
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2010,503
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2011,112
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2012,92
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2013,167
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2014,393
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2016,65
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2017,17
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2018,133
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2019,46
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2020,28
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2021,15
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2022,7
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2023,3
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2024,42
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2025,5
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2026,0
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1973,1
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1985,6
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1989,3
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1990,0
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1994,29
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1995,27
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1996,34
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1997,7
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1998,1
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,1999,29
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2001,20
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2002,21
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2003,10
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2004,63
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2005,58
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2006,139
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2007,30
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2008,105
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2009,21
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2010,71
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2011,97
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2012,14
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2013,82
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2014,53
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2015,67
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2016,115
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2017,15
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2018,96
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2019,27
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2020,200
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2021,18
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2022,11
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2023,6
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2024,1
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2025,0
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2018,3
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2019,0
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2020,0
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2024,0
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2025,0
